Section,Specific_Industry,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
C,Tobacco products,71.5,83.6,88.7,82.6,94.9,88.7,103.5,90.8,73.7,74.1,122.4,38.4,66.8,27.2,40.5,30.7,30.2,29.7,27.2,26.1,25.7,26.0,24.2,23.3,25.0,24.6,24.3,25.5,26.4,27.2,28.2
C,Textiles,"2,265.1","2,633.2","2,572.1","2,234.7","1,783.2","1,740.7","1,562.6","1,577.7","1,751.7","1,852.1","1,998.6","2,030.3","1,936.2","1,975.1","1,929.0","2,003.0","1,863.2","1,650.5","1,690.3","1,314.2","1,237.6","1,280.1","1,179.7","1,169.8","1,209.3","1,022.9","1,024.5","1,021.8","1,029.0","1,003.6",995.7
C,Wearing apparel,727.6,917.2,864.3,724.4,619.4,485.7,480.6,362.9,358.4,260.8,348.7,336.8,267.2,276.6,206.2,231.2,302.1,281.4,264.7,459.7,429.1,444.0,400.3,402.2,408.2,311.6,311.7,314.0,318.7,311.6,308.6
C,Leather and related products,175.4,178.1,164.4,137.4,103.7,114.3,102.7,84.3,70.6,77.6,114.5,92.3,97.8,86.6,58.7,49.3,68.5,60.5,58.7,54.2,50.0,52.0,44.6,44.1,46.6,36.4,35.6,36.3,37.6,37.0,38.9
C,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","2,519.2","2,608.8","2,427.6","2,431.1","4,047.0","4,344.2","4,410.1","3,733.5","3,971.2","4,277.0","4,439.7","3,188.7","2,738.7","2,835.4","2,898.2","2,244.6","2,302.8","1,996.6","2,093.6","2,028.6","1,997.8","2,023.4","1,969.0","1,960.8","2,012.4","2,040.1","2,082.8","2,116.5","2,131.1","2,096.7","2,073.1"
C,Paper and paper products,"4,595.5","5,166.0","5,511.0","5,358.5","5,324.4","4,865.0","4,427.1","4,168.4","4,104.7","4,141.5","5,253.8","3,863.2","3,630.2","3,474.9","4,811.8","5,043.9","5,350.2","5,224.4","4,430.7","3,809.6","3,455.9","3,368.6","3,356.7","3,336.8","3,312.4","2,246.6","2,284.1","2,262.4","2,172.6","2,244.5","2,278.1"
C,Printing and recording services,755.0,756.6,725.5,739.6,860.5,"1,021.0",984.3,892.4,661.2,"1,137.6","1,071.0","2,223.0","2,218.5","2,808.8","1,206.1","1,613.0",941.9,935.4,759.7,655.7,626.1,608.1,597.2,578.7,575.8,401.9,407.1,413.6,399.5,414.2,413.3
C,Manufacture of coke oven products,"3,351.9","2,882.5","2,572.3","2,379.3","2,294.1","2,206.7","2,276.2","2,387.7","2,110.5","2,112.1","2,114.5","1,618.6","1,362.1","1,311.9","1,232.0","1,180.2","1,531.6","1,730.3","1,709.1","1,608.3","1,755.3","1,711.3","1,560.6","1,757.1","2,010.7","1,979.1","1,755.8","1,862.8","2,024.6","1,894.2","1,998.7"
C,Manufacture of refined petroleum products,"18,138.9","18,912.1","19,326.8","20,252.0","19,788.6","20,526.3","20,961.7","20,818.7","20,324.3","18,430.7","17,646.8","17,435.6","19,639.5","19,131.8","18,919.8","20,436.4","18,543.6","18,329.4","17,713.7","16,730.0","17,487.3","17,908.2","16,270.8","15,218.3","14,213.7","14,343.4","14,472.0","14,598.6","14,241.0","13,838.4","12,437.9"
C,Manufacture of industrial gases and non-nitrogen-based inorganic chemicals,"2,181.1","2,089.0","2,413.6","2,907.9","3,416.3","3,561.1","3,004.7","2,954.0","2,514.8","1,910.0","3,613.9","2,876.2","2,324.9","2,675.9","2,406.4","3,108.2","3,077.8","3,103.0","3,173.3","2,644.1","2,771.9","2,584.7","2,377.4","2,356.7","2,080.1","1,991.5","2,095.2","2,246.3","2,233.5","2,225.6","2,168.5"
C,Fertilisers,596.5,602.4,615.9,621.1,618.5,693.6,696.2,526.0,615.2,693.5,748.7,780.0,817.1,779.7,662.1,730.8,561.8,750.1,759.1,572.5,655.5,552.0,752.7,651.4,656.3,693.8,641.4,778.6,623.6,697.1,762.3
C,Other nitrogen compounds,"5,252.7","5,297.7","5,491.9","5,517.0","4,293.8","4,374.1","4,414.9","3,856.8","4,753.7","6,359.5","5,521.1","5,291.0","4,354.6","4,271.7","4,431.9","3,826.7","2,902.1","3,129.7","2,729.1","2,123.9","2,465.8","1,119.1","1,172.9","1,032.7","1,028.5","1,053.9","1,021.9","1,227.9",957.5,"1,051.0","1,226.2"
C,Manufacture of petrochemicals,"46,697.2","47,875.4","43,928.5","41,419.6","43,464.5","42,340.8","43,205.1","44,694.8","39,183.2","20,136.5","16,902.7","14,156.5","13,518.6","13,006.7","12,388.5","10,142.6","10,041.5","10,205.9","9,488.5","8,057.6","8,119.3","7,929.3","7,424.8","7,033.7","6,085.7","6,230.2","6,408.6","6,779.3","6,493.1","6,079.4","6,339.7"
C,"Manufacture of dyestuffs, agro-chemicals","1,648.5","1,493.9","1,696.6","1,948.1","1,935.2","1,823.2","1,573.8","1,741.4","2,049.3","1,276.3","1,826.3","2,453.2","2,047.5","1,751.6","1,712.0","1,855.9","1,613.1","1,587.0","1,450.3","1,106.0","1,104.4",994.4,976.4,"1,021.2",978.6,994.6,"1,015.4","1,089.1","1,095.3","1,056.5","1,091.5"
C,"Manufacture of paints, varnishes & ink",368.5,339.8,376.0,470.1,496.9,408.2,305.4,225.0,223.3,220.7,152.5,399.8,270.7,255.2,270.7,223.3,248.7,244.1,239.1,208.6,225.1,197.6,180.0,183.7,173.5,168.0,180.8,185.9,187.2,178.1,181.8
C,Manufacture of cleaning & toilet preparations,592.4,420.4,384.1,459.2,448.8,394.5,352.7,341.8,338.9,331.2,459.3,345.4,344.1,979.9,805.0,"1,050.9","1,049.8",902.7,686.9,364.0,377.2,338.6,326.1,333.9,319.1,318.7,324.5,346.3,346.0,337.4,353.1
C,Manufacture of other chemical products,879.7,862.6,949.3,"1,250.1","1,309.8","1,283.4","1,117.8","1,195.5",941.7,"1,029.0",710.6,"1,100.7",689.8,769.7,583.5,768.4,711.1,678.8,674.4,612.1,626.3,560.2,557.8,577.9,531.3,519.3,571.0,589.2,593.2,574.8,613.7
C,Basic pharmaceutical products and pharmaceutical preparations,"1,093.7","1,005.3","1,032.3","1,263.2","1,293.0","1,348.3","1,166.3","1,171.1","1,257.4","1,395.6","1,018.8","2,163.4","1,799.9","1,892.2","1,926.4","1,532.3","1,262.0","1,232.0","1,251.7",913.4,940.3,869.4,801.9,811.4,729.0,689.0,716.6,765.2,762.4,754.8,779.2
C,Rubber products,"1,210.7","1,328.7","1,084.5",866.9,954.3,956.1,785.7,"1,018.4",823.5,"1,165.8","1,440.4","1,358.0","1,015.9",642.6,790.4,"1,338.5",852.7,732.4,370.2,349.4,487.1,430.8,401.2,403.0,435.1,450.9,501.5,536.6,579.2,555.8,546.9
C,Plastics products,"4,509.4","5,014.4","4,809.2","3,314.6","3,530.3","3,543.3","3,137.9","3,259.2","2,418.0","2,208.2","2,457.1","2,651.3","2,096.9","2,828.0","2,727.3","3,390.5","3,148.7","2,763.9","2,328.1","2,219.1","3,172.4","2,755.0","2,508.9","3,176.5","3,588.1","3,300.8","3,512.3","3,407.0","3,414.3","2,944.4","2,796.9"
C,"Manufacture of glass, refractory, clay, other porcelain and ceramic products, Stone, & abrasive products","6,276.7","6,384.0","5,903.7","5,022.8","5,038.4","4,658.8","4,327.7","4,147.1","4,098.4","4,020.4","4,179.7","3,976.3","3,684.2","3,721.8","3,737.0","3,606.9","3,468.2","3,932.6","4,431.3","3,750.2","3,217.9","2,981.9","2,501.1","2,616.0","2,727.1","3,106.8","3,192.9","3,300.1","3,253.0","3,154.7","3,031.0"
C,Manufacture of cement,"13,447.6","10,991.5","9,934.6","9,973.9","11,385.2","11,116.4","11,260.5","11,789.0","11,937.5","11,376.2","10,938.7","10,527.6","10,802.9","10,349.0","10,537.6","10,248.6","10,228.0","10,534.9","8,935.0","6,333.8","6,484.8","6,893.0","6,280.9","6,741.5","7,033.2","7,413.6","7,754.2","7,574.4","7,587.4","7,713.0","6,915.5"
C,Manufacture of lime,"2,068.1","1,846.2","1,636.5","1,641.9","1,706.9","1,875.2","2,085.9","2,137.5","2,264.7","1,954.7","1,986.2","1,979.8","1,826.8","1,963.3","2,077.3","2,080.8","2,083.3","2,213.6","2,009.2","1,445.6","1,666.1","1,715.6","1,679.6","1,777.2","1,845.6","1,741.6","1,413.1","1,502.1","1,554.4","1,514.6","1,432.0"
C,Manufacture of plaster,72.7,57.5,45.0,39.3,31.3,24.8,24.9,32.9,12.0,15.3,16.4,20.6,19.9,18.8,19.9,20.8,13.4,12.9,12.9,12.7,13.0,11.6,11.8,12.1,11.3,11.4,13.5,13.2,13.5,12.5,14.0
C,"Manufacture of articles of concrete, cement and plaster",554.9,535.6,523.1,474.1,505.4,468.7,465.3,478.8,529.6,602.7,660.5,658.2,601.5,630.6,667.2,731.2,815.4,949.7,"1,240.8","1,437.7","1,329.1","1,279.9","1,719.0","2,237.4","1,818.6","1,522.3","1,164.2",965.9,939.4,867.8,857.0
C,Manufacture of basic Iron & Steel,"24,696.6","23,735.9","22,951.9","23,253.4","23,862.1","24,174.6","24,722.4","25,273.6","23,567.2","25,207.2","22,523.3","20,470.3","17,534.8","20,001.3","20,568.3","20,638.9","21,403.0","21,900.3","21,018.6","15,495.6","14,220.9","12,951.5","14,127.6","18,471.2","18,735.8","17,027.5","11,811.1","11,421.0","10,798.8","11,200.0","11,401.3"
C,Manufacture of other basic metals & casting (excl. Nuclear fuel & Aluminium),"3,194.5","3,333.6","3,611.0","3,617.9","3,946.3","3,932.5","4,514.9","3,332.8","2,889.9","3,222.0","3,136.9","2,822.3","2,804.2","2,153.1","2,150.9","1,258.8","1,295.1","1,043.1","1,024.7",786.6,"1,287.3",902.3,"1,028.7","1,083.5","1,177.4",818.4,749.4,773.2,872.3,765.2,690.6
